Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,13713506130.6081,14735695930.9727,14436346979.6355,11408106446.3144,11484357947.9086
Mauritius,MUS,GDP (current LCU),NY.GDP.MKTP.CN,472861000000,500047000000,512108000000,448874000000,478807000000
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,10841.6847754844,11643.4605962124,11403.2527870674,9011.04288445023,9068.98018051209
Mauritius,MUS,GDP per capita (current LCU),NY.GDP.PCAP.CN,373836.556150866,395113.84925611,404513.481597333,354556.90063459,378104.828583928
Mauritius,MUS,GDP (constant LCU),NY.GDP.MKTP.KN,480782996900,500046724300,514504500200,439661906795.761,454627112940.879
Mauritius,MUS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,12962177523.4319,13481538349.276,13871328044.4569,11853530018.5804,12257000315.9465
Mauritius,MUS,GDP per capita (constant LCU),NY.GDP.PCAP.KN,380099.563755498,395113.631410811,406406.474168335,347280.446184451,359010.429271329
Mauritius,MUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,10247.6960577758,10652.4836886859,10956.9450226163,9362.8743588779,9679.12123969385
Mauritius,MUS,"Population, total",SP.POP.TOTL,1264887,1265577,1265985,1266014,1266334
Mauritius,MUS,Population density (people per sq. km of land area),EN.POP.DNST,633.393590385578,633.739108662994,633.943415122684,633.957936905358,634.118177265899
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1190721475958.84,1256300182983.65,1305212479961.59,1120741118380.27,1312557512901.28
Mexico,MEX,GDP (current LCU),NY.GDP.MKTP.CN,22536210257000,24176670376000,25143134201000,24079804339000,26608701425000
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,9693.33009125499,10130.3206984553,10434.5783651735,8894.89065003643,10359.1498625832
Mexico,MEX,GDP per capita (current LCU),NY.GDP.PCAP.CN,183460.976758749,194951.356090752,201007.888136442,191112.133709548,210004.91254743
Mexico,MEX,GDP (constant LCU),NY.GDP.MKTP.KN,23709107311000,24176670375000,24109423261000,22023575576000,23309274373000
Mexico,MEX,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1257912134256.87,1282719194430.88,1279151326624.44,1168484439054.37,1236698568609.36
Mexico,MEX,GDP per capita (constant LCU),NY.GDP.PCAP.KN,193009.203222312,194951.356082688,192743.840729628,174792.637888088,183964.713198923
Mexico,MEX,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,10240.3104246761,10343.3534291048,10226.2313328256,9273.81099988452,9760.44529945868
Mexico,MEX,"Population, total",SP.POP.TOTL,122839258,124013861,125085311,125998302,126705138
Mexico,MEX,Population density (people per sq. km of land area),EN.POP.DNST,63.1905439954731,63.7947791867075,64.3459507703387,64.8156084261426,65.1792165436354
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,366666800,401932300,416000000,408000000,406000000
"Micronesia, Fed. Sts.",FSM,GDP (current LCU),NY.GDP.MKTP.CN,366666800,401932300,416000000,408000000,406000000
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,3320.3549760029,3623.32933678299,3734.99492723045,3639.41269869588,3588.75993317482
"Micronesia, Fed. Sts.",FSM,GDP per capita (current LCU),NY.GDP.PCAP.CN,3320.3549760029,3623.32933678299,3734.99492723045,3639.41269869588,3588.75993317482
"Micronesia, Fed. Sts.",FSM,GDP (constant LCU),NY.GDP.MKTP.KN,250550900,251081200,254030900,247000000,242000000
"Micronesia, Fed. Sts.",FSM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,327904142.657279,328598163.580178,332458532.270118,323256963.899743,316713300.662906
"Micronesia, Fed. Sts.",FSM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2268.86625011319,2263.44057910916,2280.77914148987,2203.27190337716,2139.11306361652
"Micronesia, Fed. Sts.",FSM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2969.33933403314,2962.23858125628,2984.93012390233,2883.49387097696,2799.52710276499
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,110430,110929,111379,112106,113131
"Micronesia, Fed. Sts.",FSM,Population density (people per sq. km of land area),EN.POP.DNST,157.757142857143,158.47,159.112857142857,160.151428571429,161.615714285714
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,9519053158.46404,11253727815.4762,11735774634.4239,11531967881.0624,13692230147.0588
Moldova,MDA,GDP (current LCU),NY.GDP.MKTP.CN,176007292900,189062627300,206256239200,199733683700,242078629000
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,3454.95469039113,4156.95750022299,4404.95042249597,4376.24249318339,5274.74484719747
Moldova,MDA,GDP per capita (current LCU),NY.GDP.PCAP.CN,63882.1122253319,69836.8860037463,77417.0036753666,75796.5199819364,93257.4888984513
